ParticipantIdentifier,Age,Low Start/High Start,Clump/Even,NativeSpeaker,EngAoA,Bilingual,Gender,WorkerType,TimeToCompletion,CompletionDate,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,File,Task Condition,Fit type
8080qLaYPMjGX1vGUvI4,44,High Start,Clump,1,unknown,0,female,turker,20,20/07/2020,0.042041545230295,0,0.15,5.55008604812246E-08,5.82759035052858E-08,0.212752326729066,0.521020488910584,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\8080qLaYPMjGX1vGUvI4_responses.xlsx,Sheet1,Conf
b1UDYv3vLQsRXOqb33ga,48,High Start,Clump,1,unknown,0,female,turker,13,20/07/2020,0.334891378617956,0.3,0.45,2.98462796655355E-07,4.86164445764876E-07,0.232627384543344,0.667445362659101,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\b1UDYv3vLQsRXOqb33ga_responses.xlsx,Sheet1,Conf
shnOvXbyFCbhEh0OIt1c,40,High Start,Clump,1,unknown,0,male,turker,22,20/07/2020,3.29247915103792E-08,0,0.3,0.514862597907623,0.049626527832104,0.811004163854477,0.642094177480949,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\shnOvXbyFCbhEh0OIt1c_responses.xlsx,Sheet1,Conf
5hEVrS5OUJ37PXjM2jVj,25,High Start,Clump,1,unknown,0,female,turker,15,20/07/2020,0.046205483321779,0,0.3,4.8416504728335E-08,4.8416504728335E-08,0.197280433452212,0.523102454791414,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\5hEVrS5OUJ37PXjM2jVj_responses.xlsx,Sheet1,Conf
pWeHCpM6oniLeQ3IWLl3,29,High Start,Clump,1,unknown,0,female,turker,25,20/07/2020,5.86886233159094E-09,0,0.25,0.211029310575129,3.46886972858511E-05,0.591714970920928,0.559309796388797,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\pWeHCpM6oniLeQ3IWLl3_responses.xlsx,Sheet1,Conf
TsjH2oDvbANf3hUpXfWV,35,High Start,Clump,1,unknown,0,male,turker,27,20/07/2020,0.080526526450938,0,0.2,6.79496803330294E-07,7.13471643496808E-07,0.275804189276624,0.540263129737902,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\TsjH2oDvbANf3hUpXfWV_responses.xlsx,Sheet1,Conf
rVHWdWdg21Dy5X37q8Yv,28,High Start,Clump,1,unknown,0,male,turker,19,20/07/2020,0.552290066622198,0.45,0.6,2.04566524364053E-05,1.62442166103329E-05,0.45878851120005,0.77614717196793,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\rVHWdWdg21Dy5X37q8Yv_responses.xlsx,Sheet1,Conf
D95ms7JHPAGc5QDTcRtT,28,High Start,Clump,1,unknown,0,male,turker,13,20/07/2020,0.233363875613721,0.1,0.3,0.52998953187985,0.197717731010529,0.862891649061812,0.728672016307408,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\D95ms7JHPAGc5QDTcRtT_responses.xlsx,Sheet1,Conf
tXjHU6Tlfwm6sbkdbpND,26,Low Start,Clump,1,unknown,0,female,turker,12,20/07/2020,0.056774658442185,0,0.1,2.60437186808427E-07,2.73459046148849E-07,0.35163068604312,0.528387095591851,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\tXjHU6Tlfwm6sbkdbpND_responses.xlsx,Sheet1,Conf
JsyeiwqKnYvPM0erhPNF,35,Low Start,Clump,1,unknown,0,male,turker,14,20/07/2020,0.120977522374622,0,0.2,0.426443689532331,0.105791149954718,0.772818950715875,0.664651832804097,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\JsyeiwqKnYvPM0erhPNF_responses.xlsx,Sheet1,Conf
Cnu9MncTroHAKmmRY5oa,28,High Start,Clump,1,unknown,0,male,turker,22,20/07/2020,0.47140107819522,0,0.5,2.59818232031725,2.13453700051135,3.46196286188328,0.982507974497836,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Cnu9MncTroHAKmmRY5oa_responses.xlsx,Sheet1,Conf
okP22ElrHo3EiH48Vw4B,45,Low Start,Clump,1,unknown,0,male,turker,17,20/07/2020,0.059176078912048,0,0.15,1.84860752484591E-07,1.84860752484591E-07,0.105436199426257,0.529587784903877,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\okP22ElrHo3EiH48Vw4B_responses.xlsx,Sheet1,Conf
x7wx2unDwh1a4lGBDfxs,35,Low Start,Clump,1,unknown,0,male,turker,15,20/07/2020,0.000959464599633,0.01,0.075,0.010941960774362,0.000154847072823,0.206766578565162,0.503563123152996,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\x7wx2unDwh1a4lGBDfxs_responses.xlsx,Sheet1,Conf
kAgW6YobUNksacMYsdj3,27,Low Start,Clump,1,unknown,0,male,turker,20,20/07/2020,8.06646416329215E-17,0,0.02,0.0010828125,6.33602260767377E-05,0.22933546949841,0.500305169078935,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\kAgW6YobUNksacMYsdj3_responses.xlsx,Sheet1,Conf
knCBd3H4TSeifkFaWrTY,30,Low Start,Clump,1,unknown,1,male,turker,18,20/07/2020,1.41848991324241E-06,0,0.25,0.525746877690539,0.063712642961799,0.848195188603051,0.644964135432567,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\knCBd3H4TSeifkFaWrTY_responses.xlsx,Sheet1,Conf
6hMH5A4co701o6YQqvxh,31,Low Start,Clump,1,unknown,0,male,turker,12,20/07/2020,1.57211324998868E-06,0,0.15,0.022936568405559,3.76763306965185E-05,0.236221057702593,0.506470491936556,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\6hMH5A4co701o6YQqvxh_responses.xlsx,Sheet1,Conf
