"Participant","File","Task.Condition","Fit.type","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","Frequency","Age","Sex","LowOrHighStart","ClumpedOrEven","NativeSpeaker","EngAoA","Bilingual","WorkerType","TimeToCompletion"
"q076O9kSa6IuhQgK2T8k","q076O9kSa6IuhQgK2T8k_responses_high.xlsx","Sheet1","Conf",0.3874456332,0.15,0.5,0.4859025249,4.18697202068981e-05,1.2390589351,0.7760625592,"high",36,"male","High Start","Clump",TRUE,"unknown",TRUE,"volunteer",16
"q076O9kSa6IuhQgK2T8k","q076O9kSa6IuhQgK2T8k_responses_low.xlsx","Sheet1","Conf",0.272475437,0,0.5,1.6398692115,0.8197251309,2.2954755289,0.9104316425,"low",36,"male","High Start","Clump",TRUE,"unknown",TRUE,"volunteer",16
"Q26IBqm0m98iXbpnNWpW","Q26IBqm0m98iXbpnNWpW_responses_high.xlsx","Sheet1","Conf",0.5700229763,0,0.7,1.8108060093,0.8695655179,2.959668574,0.9569175562,"high",28,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",53
"Q26IBqm0m98iXbpnNWpW","Q26IBqm0m98iXbpnNWpW_responses_low.xlsx","Sheet1","Conf",0.6851454031,0,0.8,2.3252737038,1.4430737263,3.5488183416,0.9842362916,"low",28,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",53
"q298DODQ9x3QbaBf6lNG","q298DODQ9x3QbaBf6lNG_responses_high.xlsx","Sheet1","Conf",0.3460767106,0.3,0.4,1.42547647837202e-06,9.77814253856388e-07,0.3968883807,0.6730382324,"high",33,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",58
"q298DODQ9x3QbaBf6lNG","q298DODQ9x3QbaBf6lNG_responses_low.xlsx","Sheet1","Conf",0.2825988149,0.15,0.35,0.0982803883,3.1738222310299e-05,0.5928192545,0.6611725812,"low",33,"female","Low Start","Even",TRUE,"unknown",FALSE,"turker",58
"Q7RXhS0ywM6u3EyxxhyQ","Q7RXhS0ywM6u3EyxxhyQ_responses_high.xlsx","Sheet1","Conf",0.0857284956,0,0.2,0.692715623,0.3576690157,1.038558502,0.714628827,"high",39,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",13
"Q7RXhS0ywM6u3EyxxhyQ","Q7RXhS0ywM6u3EyxxhyQ_responses_low.xlsx","Sheet1","Conf",0.3142744089,0.1,0.45,0.8389958542,0.3863592502,1.268747893,0.8103940485,"low",39,"male","High Start","Even",TRUE,"unknown",FALSE,"turker",13
"q94vWbqCi8agrdyg23JA","q94vWbqCi8agrdyg23JA_responses_high.xlsx","Sheet1","Conf",0.2883632159,0,0.5,0.5938998584,3.60597173875792e-05,1.2098027986,0.7599925416,"high",35,"female","High Start","Even",FALSE,"11",TRUE,"turker",27
"q94vWbqCi8agrdyg23JA","q94vWbqCi8agrdyg23JA_responses_low.xlsx","Sheet1","Conf",0.550194762,0,0.7,0.4474247019,3.88578058618805e-16,1.5261928934,0.8309367241,"low",35,"female","High Start","Even",FALSE,"11",TRUE,"turker",27
"qANLXidtveGqteAiHKqj","qANLXidtveGqteAiHKqj_responses_high.xlsx","Sheet1","Conf",0.2961163431,0,0.5,0.8335400528,0.2739022704,1.4066806925,0.8044637316,"high",31,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",13
"qANLXidtveGqteAiHKqj","qANLXidtveGqteAiHKqj_responses_low.xlsx","Sheet1","Conf",0.4681196502,0,0.8,1.8353645361,0.7661612872,2.6671550577,0.9483125048,"low",31,"male","Low Start","Clump",TRUE,"unknown",TRUE,"turker",13
"qc6aGXe8YMmHV9khFkMG","qc6aGXe8YMmHV9khFkMG_responses_high.xlsx","Sheet1","Conf",2.68794821953608e-07,0,0.2,0.3663653554,3.56914919058967e-05,0.6232921938,0.6022051236,"high",27,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",13
"qc6aGXe8YMmHV9khFkMG","qc6aGXe8YMmHV9khFkMG_responses_low.xlsx","Sheet1","Conf",1.91270754466339e-07,0,0.1,0.4429417801,0.1572378889,0.7049249507,0.6229381343,"low",27,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",13
"qdtS2YyU7NJ57w5Yarqb","qdtS2YyU7NJ57w5Yarqb_responses_high.xlsx","Sheet1","Conf",0.1699553473,0,0.35,0.9382543917,0.4235757656,1.4294001492,0.7895647441,"high",58,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",15
"qdtS2YyU7NJ57w5Yarqb","qdtS2YyU7NJ57w5Yarqb_responses_low.xlsx","Sheet1","Conf",0.2781640668,0,0.45,0.7134462256,0.1269828829,1.2481479062,0.7784241417,"low",58,"female","High Start","Even",TRUE,"unknown",FALSE,"turker",15
"QiMCA4ltqBfTaI4TnQ8T","QiMCA4ltqBfTaI4TnQ8T_responses_high.xlsx","Sheet1","Conf",0.3788625081,0,0.6,0.1786077045,3.48033534985115e-05,0.8277297018,0.7206435068,"high",25,"female","High Start","Even",TRUE,"unknown",TRUE,"turker",15
