"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"26","2ANiOcldD1K2kY2Kfk4e",25,"even","high_even_picsFirst","TRUE","unknown","FALSE","female",35,"6/23/2021","../data/2ANiOcldD1K2kY2Kfk4e_responses_words.xlsx","AllFreq",0.562013982482313,0.22176357438959,4.06941279029187e-05,0.357024921774545,0.111982348517709,3.13384721580352e-05,0.572628127832563,0.635394725029528,-406.392679468978,"High","Even"
"27","2ANiOcldD1K2kY2Kfk4e",25,"even","high_even_picsFirst","TRUE","unknown","FALSE","female",35,"6/23/2021","../data/2ANiOcldD1K2kY2Kfk4e_responses_words.xlsx","HiFreq",0.538431044793924,0,4.06962333173365e-05,0.145058420007164,0.241655926777852,8.14877103175419e-05,0.492733168184461,0.567787170016345,-288.935153019857,"High","Even"
"28","2VYQOUpW12HdCjxP5IKh",27,"even","low_even_wordsFirst","TRUE","unknown","TRUE","male",24,"6/11/2021","../data/2VYQOUpW12HdCjxP5IKh_responses_words.xlsx","HiFreq",0.626075613472949,0,4.07336846452168e-05,0.351574212744913,1.17368996477627,0.563182291364344,1.42631487268892,0.796388070716375,-270.184641421805,"Low","Even"
"29","2VYQOUpW12HdCjxP5IKh",27,"even","low_even_wordsFirst","TRUE","unknown","TRUE","male",24,"6/11/2021","../data/2VYQOUpW12HdCjxP5IKh_responses_words.xlsx","LoFreq",0.598428123297253,0,4.06973848031529e-05,0.272249567794026,0.905745302696444,0.362905931619831,1.15468797687781,0.73886802746074,-273.411744050674,"Low","Even"
"30","2VYQOUpW12HdCjxP5IKh",27,"even","low_even_wordsFirst","TRUE","unknown","TRUE","male",24,"6/11/2021","../data/2VYQOUpW12HdCjxP5IKh_responses_words.xlsx","AllFreq",0.611939961273947,0,4.06929262750032e-05,0.218625279212156,1.04206141546011,0.667321522688205,1.25218058485386,0.769141130928801,-384.007465166277,"Low","Even"
"31","2xyltw1tWgME900WOM9g",45,"even","low_even_picsFirst","TRUE","unknown","TRUE","male",31,"6/3/2021","../data/2xyltw1tWgME900WOM9g_responses_words.xlsx","HiFreq",0.688067907271943,0.401460565757664,0.0312445796227527,0.562601186309903,1.13243845431922,0.582813673960001,1.7215997155527,0.873028428356974,-180.832676180775,"Low","Even"
"32","2xyltw1tWgME900WOM9g",45,"even","low_even_picsFirst","TRUE","unknown","TRUE","male",31,"6/3/2021","../data/2xyltw1tWgME900WOM9g_responses_words.xlsx","AllFreq",0.719064973770401,0.504023876697005,0.216265795336492,0.61792963530167,1.20445700565738,0.759489346256291,1.71141160655128,0.90185477637624,-234.189528397371,"Low","Even"
"33","2xyltw1tWgME900WOM9g",45,"even","low_even_picsFirst","TRUE","unknown","TRUE","male",31,"6/3/2021","../data/2xyltw1tWgME900WOM9g_responses_words.xlsx","LoFreq",0.760677943305382,0.608964880921369,0.217590423400077,0.756929804051562,1.32298351913569,0.578791742875742,2.0632099965012,0.931237560319005,-167.733625217573,"Low","Even"
"34","2YsjhLjtmScC09AVk39s",34,"even","high_even_picsFirst","TRUE","unknown","FALSE","male",30,"5/24/2021","../data/2YsjhLjtmScC09AVk39s_responses_words.xlsx","AllFreq",0.491774191184504,0.0245527004357191,6.99884988672813e-05,0.0707305611577005,0,3.13384721580352e-05,0.158931138731632,0.512243901361217,-292.010400719847,"High","Even"
"35","2YsjhLjtmScC09AVk39s",34,"even","high_even_picsFirst","TRUE","unknown","FALSE","male",30,"5/24/2021","../data/2YsjhLjtmScC09AVk39s_responses_words.xlsx","LoFreq",0.456779691692191,0.0292728659410793,4.66338335182296e-05,0.084569730607572,0,3.13384721580352e-05,0.090861629304238,0.514603834620175,-215.162835307018,"High","Even"
"36","2YsjhLjtmScC09AVk39s",34,"even","high_even_picsFirst","TRUE","unknown","FALSE","male",30,"5/24/2021","../data/2YsjhLjtmScC09AVk39s_responses_words.xlsx","HiFreq",0.53026753872382,0,6.60408543905442e-05,0.053396238672869,0.252185207649395,8.14384606153823e-05,0.546514124304284,0.570711342204504,-215.205053034336,"High","Even"
